gene_id	transcript_id	swissprot_sseqid	swissprot_evalue	swissprot_bitscore	swissprot_title	uniref90_sseqid	uniref90_evalue	uniref90_bitscore	uniref90_title	pfam_ids	interpro_ids	GO_terms	signature_descriptions	interpro_descriptions
g3281	g3281.t1	-	-	-	-	UniRef90_A0AAE1MW18	4	0	1	-	-	-	-	-
g3282	g3282.t1	sp|Q9FM65|FLA1_ARATH	100	2	25	UniRef90_A0AAE1TAA3	1	0	1	PF02469	IPR000782;IPR036378	-	FAS1 domain;FAS1/BIgH3 domain profile.;Fasciclin domain;fasc_3	FAS1 domain;FAS1 domain superfamily
g3283	g3283.t1	sp|Q9LQ12|4CLL1_ARATH	152	3	5	UniRef90_A0AAE1TAK5	1	0	1	PF00501;PF13193	IPR000873;IPR020845;IPR025110	-	AMP-binding enzyme;AMP-binding enzyme C-terminal domain;Acetyl-CoA synthetase-like;Putative AMP-binding domain signature.	AMP-binding enzyme, C-terminal domain;AMP-binding, conserved site;AMP-dependent synthetase/ligase domain
g3284	g3284.t1	sp|O23310|NFYB3_ARATH	34	4	1	UniRef90_A0AAE1TBM8	4	1	1	PF00808	IPR003956;IPR003958;IPR009072	GO:0005634(InterPro);GO:0006355(InterPro);GO:0043565(InterPro);GO:0046982(InterPro)	Histone-fold;Histone-like transcription factor (CBF/NF-Y) and archaeal histone;NF-YB/HAP3 subunit signature.	Histone-fold;Transcription factor CBF/NF-Y/archaeal histone domain;Transcription factor, NFYB/HAP3, conserved site
g3285	g3285.t1	sp|P87131|CYSKL_SCHPO	166	5	50	UniRef90_A0AAE1TBU8	1	0	1	PF00291	IPR001216;IPR001926;IPR036052	GO:0006535(InterPro)	Cysteine synthase/cystathionine beta-synthase P-phosphate attachment site.;Pyridoxal-phosphate dependent enzyme;Tryptophan synthase beta subunit-like PLP-dependent enzymes	Cysteine synthase/cystathionine beta-synthase, pyridoxal-phosphate attachment site;Tryptophan synthase beta chain-like, PALP domain;Tryptophan synthase beta chain-like, PALP domain superfamily
g3286	g3286.t1	sp|Q6MFY5|RPA12_RAT	68	1	8	UniRef90_A0AAE1MW29	1	0	1	PF01096	IPR001222	GO:0003676(InterPro);GO:0006351(InterPro);GO:0008270(InterPro)	Cys4_2;Transcription factor S-II (TFIIS);Zinc beta-ribbon;Zinc finger TFIIS-type profile.;Zinc finger TFIIS-type signature.	Zinc finger, TFIIS-type
g3287	g3287.t1	sp|Q8LBL1|KCO1_ARATH	147	2	1	UniRef90_A0AAE1MW23	22	0	1	PF07885	IPR011992;IPR013099;IPR018247	-	EF-hand;EF-hand calcium-binding domain.;Ion channel;Voltage-gated potassium channels	EF-Hand 1, calcium-binding site;EF-hand domain pair;Potassium channel domain
g3287	g3287.t2	sp|Q8LBL1|KCO1_ARATH	147	3	1	UniRef90_A0AAE1MW23	27	1	1	PF07885	IPR011992;IPR013099;IPR018247	-	EF-hand;EF-hand calcium-binding domain.;Ion channel;Voltage-gated potassium channels	EF-Hand 1, calcium-binding site;EF-hand domain pair;Potassium channel domain
g3288	g3288.t1	-	-	-	-	UniRef90_A0AAE1MW35	0	0	1	-	-	-	-	-
g3289	g3289.t1	sp|P38838|WSS1_YEAST	111	4	17	UniRef90_A0AAE1MW47	2	0	1	PF00641;PF08325	IPR001876;IPR013536;IPR036443	-	Ran binding protein zinc finger-like;WLM domain;WLM domain profile.;Zinc finger RanBP2 type profile.;Zinc finger RanBP2-type signature.;Zn-finger in Ran binding protein and others;zf_4	WLM domain;Zinc finger, RanBP2-type;Zinc finger, RanBP2-type superfamily
g3290	g3290.t1	sp|Q39218|SAT3_ARATH	120	5	55	UniRef90_A0AAE1MW31	3	0	1	PF00132;PF06426	IPR001451;IPR010493;IPR011004;IPR018357	GO:0005737(InterPro);GO:0006535(InterPro);GO:0009001(InterPro);GO:0016740(InterPro)	Bacterial transferase hexapeptide (six repeats);Hexapeptide-repeat containing-transferases signature.;SATase_N_2_a;Serine acetyltransferase, N-terminal;Trimeric LpxA-like enzymes	Hexapeptide repeat;Hexapeptide transferase, conserved site;Serine acetyltransferase, N-terminal;Trimeric LpxA-like superfamily
g3291	g3291.t1	sp|Q75LL6|TADA2_ORYSJ	27	1	2	UniRef90_A0AAE1IX78	6	0	1	PF12436	IPR024729	-	ICP0-binding domain of Ubiquitin-specific protease 7	Ubiquitin carboxyl-terminal hydrolase 7, ICP0-binding domain
g3292	g3292.t1	sp|Q39218|SAT3_ARATH	75	0	55	UniRef90_A0AAE1MW38	2	0	1	PF00132;PF06426	IPR001451;IPR010493;IPR011004;IPR018357	GO:0005737(InterPro);GO:0006535(InterPro);GO:0009001(InterPro);GO:0016740(InterPro)	Bacterial transferase hexapeptide (six repeats);Hexapeptide-repeat containing-transferases signature.;SATase_N_2_a;Serine acetyltransferase, N-terminal;Trimeric LpxA-like enzymes	Hexapeptide repeat;Hexapeptide transferase, conserved site;Serine acetyltransferase, N-terminal;Trimeric LpxA-like superfamily
g3293	g3293.t1	sp|Q42588|SAT1_ARATH	71	0	52	UniRef90_A0AAE1MW25	1	0	1	PF00132;PF06426	IPR001451;IPR010493;IPR011004;IPR018357	GO:0005737(InterPro);GO:0006535(InterPro);GO:0009001(InterPro);GO:0016740(InterPro)	Bacterial transferase hexapeptide (six repeats);Hexapeptide-repeat containing-transferases signature.;SATase_N_2_a;Serine acetyltransferase, N-terminal;Trimeric LpxA-like enzymes	Hexapeptide repeat;Hexapeptide transferase, conserved site;Serine acetyltransferase, N-terminal;Trimeric LpxA-like superfamily
g3294	g3294.t1	sp|Q9LK61|RR10_ARATH	23	3	47	UniRef90_A0AAE1MW30	2	0	1	PF00338	IPR018268;IPR027486;IPR036838	GO:0003723(InterPro);GO:0003735(InterPro);GO:0005840(InterPro);GO:0006412(InterPro)	Ribosomal protein S10;Ribosomal protein S10 signature.;Ribosomal protein S10p/S20e;Ribosomal_S10_2	Small ribosomal subunit protein uS10 domain;Small ribosomal subunit protein uS10 domain superfamily;Small ribosomal subunit protein uS10, conserved site
g3295	g3295.t1	sp|Q9FM79|PME62_ARATH	141	3	13	UniRef90_A0AAE1TAA5	1	0	1	PF01095	IPR000070;IPR011050	GO:0030599(InterPro);GO:0042545(InterPro)	Pectin lyase-like;Pectinesterase	Pectin lyase fold/virulence factor;Pectinesterase, catalytic
g3296	g3296.t1	-	-	-	-	UniRef90_A0AAE1TBN2	0	1	1	-	-	-	-	-
g3297	g3297.t1	sp|O48923|C71DA_SOYBN	61	0	1	UniRef90_A0AAE1TBV7	1	0	1	PF00067	IPR001128;IPR017972;IPR036396	GO:0004497(InterPro);GO:0005506(InterPro);GO:0016705(InterPro);GO:0020037(InterPro)	Cytochrome P450;Cytochrome P450 cysteine heme-iron ligand signature.	Cytochrome P450;Cytochrome P450 superfamily;Cytochrome P450, conserved site
g3298	g3298.t1	sp|O48923|C71DA_SOYBN	214	9	1	UniRef90_A0AAE1TB61	3	0	1	PF00067	IPR001128;IPR017972;IPR036396	GO:0004497(InterPro);GO:0005506(InterPro);GO:0016705(InterPro);GO:0020037(InterPro)	Cytochrome P450;Cytochrome P450 cysteine heme-iron ligand signature.	Cytochrome P450;Cytochrome P450 superfamily;Cytochrome P450, conserved site
g3299	g3299.t1	-	-	-	-	UniRef90_A0AAE1MW39	0	0	1	-	-	-	-	-
g3300	g3300.t1	-	-	-	-	UniRef90_UPI0010A4A686	130	5	10	PF14244	IPR029472	-	gag-polypeptide of LTR copia-type	Retrotransposon Copia-like, N-terminal
g3301	g3301.t1	sp|Q8S9H7|DIV_ANTMA	69	7	4	UniRef90_A0AAE1MW40	1	0	1	PF00249	IPR001005;IPR009057;IPR017884;IPR017930	-	Homeodomain-like;Myb-like DNA-binding domain;Myb-like domain profile.;Myb-type HTH DNA-binding domain profile.;SANT domain profile.;sant	Homedomain-like superfamily;Myb domain;SANT domain;SANT/Myb domain
g3302	g3302.t1	sp|Q8S9H7|DIV_ANTMA	70	7	3	UniRef90_A0AAE1MW40	4	0	1	PF00249	IPR001005;IPR009057;IPR017884;IPR017930	-	Homeodomain-like;Myb-like DNA-binding domain;Myb-like domain profile.;Myb-type HTH DNA-binding domain profile.;SANT domain profile.;sant	Homedomain-like superfamily;Myb domain;SANT domain;SANT/Myb domain
g3303	g3303.t1	sp|Q8S9H7|DIV_ANTMA	25	2	58	UniRef90_A0AAE1MW40	11	0	1	PF00249	IPR001005;IPR009057;IPR017884;IPR017930	-	Homeodomain-like;Myb-like DNA-binding domain;Myb-like domain profile.;Myb-type HTH DNA-binding domain profile.;SANT domain profile.;sant	Homedomain-like superfamily;Myb domain;SANT domain;SANT/Myb domain
g3304	g3304.t1	sp|O48923|C71DA_SOYBN	120	7	8	UniRef90_UPI0010A53709	41	0	1	PF00067	IPR001128;IPR036396	GO:0004497(InterPro);GO:0005506(InterPro);GO:0016705(InterPro);GO:0020037(InterPro)	Cytochrome P450	Cytochrome P450;Cytochrome P450 superfamily
g3305	g3305.t1	-	-	-	-	UniRef90_A0AAE1TAA7	2	0	1	-	IPR036691	-	DNase I-like	Endonuclease/exonuclease/phosphatase superfamily
g3306	g3306.t1	-	-	-	-	UniRef90_A0AAE1TBP0	1	0	1	-	-	-	-	-
g3307	g3307.t1	-	-	-	-	-	-	-	-	-	-	-	-	-
g3308	g3308.t1	-	-	-	-	UniRef90_A0AAE1N1M3	3	0	3	-	-	-	-	-
g3309	g3309.t1	sp|Q8S9H7|DIV_ANTMA	94	7	2	UniRef90_A0AAE1MW48	1	0	1	PF00249	IPR001005;IPR009057;IPR017884;IPR017930	-	Homeodomain-like;Myb-like DNA-binding domain;Myb-like domain profile.;Myb-type HTH DNA-binding domain profile.;SANT domain profile.;sant	Homedomain-like superfamily;Myb domain;SANT domain;SANT/Myb domain
g3310	g3310.t1	-	-	-	-	UniRef90_A0AAE1MW55	6	0	74	-	-	-	-	-
g3311	g3311.t1	-	-	-	-	UniRef90_A0AAE1MW44	2	0	1	-	-	-	-	-
g3312	g3312.t1	sp|P92519|M810_ARATH	116	2	5	UniRef90_A0AAE1JV86	9	0	55	PF07727	IPR013103	-	Reverse transcriptase (RNA-dependent DNA polymerase)	Reverse transcriptase, RNA-dependent DNA polymerase
g3313	g3313.t1	-	-	-	-	UniRef90_A0AAE1JT11	8	0	1	PF13963	IPR029480	-	Transposase-associated domain	Transposase-associated domain
g3314	g3314.t1	-	-	-	-	UniRef90_A0AAV1YJ36	205	10	1	PF02042	IPR003035	-	RWP-RK domain;RWP-RK domain profile.	RWP-RK domain
g3315	g3315.t1	sp|O48923|C71DA_SOYBN	95	2	1	UniRef90_UPI0010A3E9BE	48	1	2	PF00067	IPR001128;IPR036396	GO:0004497(InterPro);GO:0005506(InterPro);GO:0016705(InterPro);GO:0020037(InterPro)	Cytochrome P450	Cytochrome P450;Cytochrome P450 superfamily
g3316	g3316.t1	-	-	-	-	UniRef90_A0AAE1MN75	2	0	78	PF03004	IPR004252	-	Plant transposase (Ptta/En/Spm family)	Probable transposase, Ptta/En/Spm, plant
g3317	g3317.t1	sp|Q9LK64|AB3C_ARATH	465	9	6	UniRef90_A0AAE1MW68	3	0	1	PF00005;PF00664	IPR003439;IPR003593;IPR011527;IPR017871;IPR027417;IPR036640	GO:0005524(InterPro);GO:0016020(InterPro);GO:0016887(InterPro);GO:0055085(InterPro);GO:0140359(InterPro)	AAA_5;ABC transporter;ABC transporter integral membrane type-1 fused domain profile.;ABC transporter transmembrane region;ABC transporters family signature.;ATP-binding cassette, ABC transporter-type domain profile.;P-loop containing nucleoside triphosphate hydrolases	AAA+ ATPase domain;ABC transporter type 1, transmembrane domain;ABC transporter type 1, transmembrane domain superfamily;ABC transporter-like, ATP-binding domain;ABC transporter-like, conserved site;P-loop containing nucleoside triphosphate hydrolase
g3317	g3317.t2	sp|Q9LK64|AB3C_ARATH	475	9	1	UniRef90_A0AAE1MW68	3	0	1	PF00005;PF00664	IPR003439;IPR003593;IPR011527;IPR017871;IPR027417;IPR036640	GO:0005524(InterPro);GO:0016020(InterPro);GO:0016887(InterPro);GO:0055085(InterPro);GO:0140359(InterPro)	AAA_5;ABC transporter;ABC transporter integral membrane type-1 fused domain profile.;ABC transporter transmembrane region;ABC transporters family signature.;ATP-binding cassette, ABC transporter-type domain profile.;P-loop containing nucleoside triphosphate hydrolases	AAA+ ATPase domain;ABC transporter type 1, transmembrane domain;ABC transporter type 1, transmembrane domain superfamily;ABC transporter-like, ATP-binding domain;ABC transporter-like, conserved site;P-loop containing nucleoside triphosphate hydrolase
g3318	g3318.t1	sp|Q9LK64|AB3C_ARATH	446	9	6	UniRef90_A0AAE1MW68	75	0	1	PF00005;PF00664	IPR003439;IPR003593;IPR011527;IPR017871;IPR027417;IPR036640	GO:0005524(InterPro);GO:0016020(InterPro);GO:0016887(InterPro);GO:0055085(InterPro);GO:0140359(InterPro)	AAA_5;ABC transporter;ABC transporter integral membrane type-1 fused domain profile.;ABC transporter transmembrane region;ABC transporters family signature.;ATP-binding cassette, ABC transporter-type domain profile.;P-loop containing nucleoside triphosphate hydrolases	AAA+ ATPase domain;ABC transporter type 1, transmembrane domain;ABC transporter type 1, transmembrane domain superfamily;ABC transporter-like, ATP-binding domain;ABC transporter-like, conserved site;P-loop containing nucleoside triphosphate hydrolase
g3318	g3318.t2	sp|Q9LK64|AB3C_ARATH	457	9	1	UniRef90_A0AAE1MW68	76	0	1	PF00005;PF00664	IPR003439;IPR003593;IPR011527;IPR017871;IPR027417;IPR036640	GO:0005524(InterPro);GO:0016020(InterPro);GO:0016887(InterPro);GO:0055085(InterPro);GO:0140359(InterPro)	AAA_5;ABC transporter;ABC transporter integral membrane type-1 fused domain profile.;ABC transporter transmembrane region;ABC transporters family signature.;ATP-binding cassette, ABC transporter-type domain profile.;P-loop containing nucleoside triphosphate hydrolases	AAA+ ATPase domain;ABC transporter type 1, transmembrane domain;ABC transporter type 1, transmembrane domain superfamily;ABC transporter-like, ATP-binding domain;ABC transporter-like, conserved site;P-loop containing nucleoside triphosphate hydrolase
g3319	g3319.t1	sp|Q9LK64|AB3C_ARATH	514	7	6	UniRef90_UPI00240EC3CE	217	0	1	PF00005;PF00664	IPR003439;IPR003593;IPR011527;IPR017871;IPR027417;IPR036640	GO:0005524(InterPro);GO:0016020(InterPro);GO:0016887(InterPro);GO:0055085(InterPro);GO:0140359(InterPro)	AAA_5;ABC transporter;ABC transporter integral membrane type-1 fused domain profile.;ABC transporter transmembrane region;ABC transporters family signature.;ATP-binding cassette, ABC transporter-type domain profile.;P-loop containing nucleoside triphosphate hydrolases	AAA+ ATPase domain;ABC transporter type 1, transmembrane domain;ABC transporter type 1, transmembrane domain superfamily;ABC transporter-like, ATP-binding domain;ABC transporter-like, conserved site;P-loop containing nucleoside triphosphate hydrolase
g3320	g3320.t1	sp|Q9LK64|AB3C_ARATH	64	0	4	UniRef90_UPI002410AD32	27	0	1	PF00005	IPR003439;IPR003593;IPR027417	GO:0005524(InterPro);GO:0016887(InterPro)	AAA_5;ABC transporter;ATP-binding cassette, ABC transporter-type domain profile.;P-loop containing nucleoside triphosphate hydrolases	AAA+ ATPase domain;ABC transporter-like, ATP-binding domain;P-loop containing nucleoside triphosphate hydrolase
g3321	g3321.t1	sp|Q9LK64|AB3C_ARATH	501	8	5	UniRef90_UPI00240EC3CE	318	3	1	PF00005;PF00664	IPR003439;IPR003593;IPR011527;IPR017871;IPR027417;IPR036640	GO:0005524(InterPro);GO:0016020(InterPro);GO:0016887(InterPro);GO:0055085(InterPro);GO:0140359(InterPro)	AAA_5;ABC transporter;ABC transporter integral membrane type-1 fused domain profile.;ABC transporter transmembrane region;ABC transporters family signature.;ATP-binding cassette, ABC transporter-type domain profile.;P-loop containing nucleoside triphosphate hydrolases	AAA+ ATPase domain;ABC transporter type 1, transmembrane domain;ABC transporter type 1, transmembrane domain superfamily;ABC transporter-like, ATP-binding domain;ABC transporter-like, conserved site;P-loop containing nucleoside triphosphate hydrolase
g3321	g3321.t2	sp|Q9LK64|AB3C_ARATH	521	8	9	UniRef90_UPI00240EC3CE	332	3	1	PF00005;PF00664	IPR003439;IPR003593;IPR011527;IPR017871;IPR027417;IPR036640	GO:0005524(InterPro);GO:0016020(InterPro);GO:0016887(InterPro);GO:0055085(InterPro);GO:0140359(InterPro)	AAA_5;ABC transporter;ABC transporter integral membrane type-1 fused domain profile.;ABC transporter transmembrane region;ABC transporters family signature.;ATP-binding cassette, ABC transporter-type domain profile.;P-loop containing nucleoside triphosphate hydrolases	AAA+ ATPase domain;ABC transporter type 1, transmembrane domain;ABC transporter type 1, transmembrane domain superfamily;ABC transporter-like, ATP-binding domain;ABC transporter-like, conserved site;P-loop containing nucleoside triphosphate hydrolase
g3322	g3322.t1	sp|Q6NQD9|MD19B_ARATH	68	5	1	UniRef90_A0AAE1MW43	1	0	1	-	-	-	-	-
g3322	g3322.t2	sp|Q6NQD9|MD19B_ARATH	68	5	1	UniRef90_A0AAE1MW43	0	0	1	-	-	-	-	-
g3323	g3323.t1	sp|Q9SND9|Y3028_ARATH	248	9	5	UniRef90_A0AAE1MW50	5	1	1	PF02458	-	-	Transferase family	-
g3324	g3324.t1	sp|Q84JB8|RUS3_ARATH	120	2	16	UniRef90_A0AAE1TAM0	0	0	1	PF04884;PF24160	IPR054549;IPR055412	-	Root UVB sensitive protein, C-terminal;Vitamin B6 photo-protection and homoeostasis domain	Protein root UVB sensitive/RUS domain;Root UVB sensitive protein, C-terminal
g3325	g3325.t1	sp|P0C7R4|PP110_ARATH	227	6	1	UniRef90_A0AAE1TB73	38	0	1	PF13041;PF13812;PF25245	IPR002885;IPR057440	-	At1g68980, TPR repeats;PPR repeat family;Pentatricopeptide (PPR) repeat profile.;Pentatricopeptide repeat domain	At1g68980-like, TPR repeats;Pentatricopeptide repeat
g3326	g3326.t1	-	-	-	-	UniRef90_A0AAV1YJ36	208	10	1	PF02042	IPR003035	-	RWP-RK domain;RWP-RK domain profile.	RWP-RK domain
g3327	g3327.t1	-	-	-	-	UniRef90_UPI001016CD7C	387	3	1	PF02992;PF13952;PF13960;PF13963	IPR004242;IPR025312;IPR025452;IPR029480	-	Domain of unknown function (DUF4216);Domain of unknown function (DUF4218);Transposase family tnp2;Transposase-associated domain	Domain of unknown function DUF4216;Domain of unknown function DUF4218;Transposase-associated domain;Transposon, En/Spm-like
g3328	g3328.t1	sp|P04146|COPIA_DROME	49	2	2	UniRef90_A0A445DJV8	46	0	1	PF25597	IPR057670	-	Retroviral polymerase SH3-like domain	Retroviral polymerase, SH3-like domain
g3329	g3329.t1	sp|P10978|POLX_TOBAC	131	7	17	UniRef90_A0A151RX52	105	3	1	PF13976;PF22936	IPR001584;IPR012337;IPR025724;IPR054722	GO:0015074(InterPro)	GAG-pre-integrase domain;Integrase catalytic domain profile.;Pol polyprotein, beta-barrel domain;Ribonuclease H-like	GAG-pre-integrase domain;Integrase, catalytic core;Retrovirus-related Pol polyprotein from transposon TNT 1-94-like, beta-barrel domain;Ribonuclease H-like superfamily
g3330	g3330.t1	sp|Q9LK64|AB3C_ARATH	526	9	29	UniRef90_A0AAE1MW78	17	0	1	PF00005;PF00664	IPR003439;IPR003593;IPR011527;IPR017871;IPR027417;IPR036640	GO:0005524(InterPro);GO:0016020(InterPro);GO:0016887(InterPro);GO:0055085(InterPro);GO:0140359(InterPro)	AAA_5;ABC transporter;ABC transporter integral membrane type-1 fused domain profile.;ABC transporter transmembrane region;ABC transporters family signature.;ATP-binding cassette, ABC transporter-type domain profile.;P-loop containing nucleoside triphosphate hydrolases	AAA+ ATPase domain;ABC transporter type 1, transmembrane domain;ABC transporter type 1, transmembrane domain superfamily;ABC transporter-like, ATP-binding domain;ABC transporter-like, conserved site;P-loop containing nucleoside triphosphate hydrolase
g3331	g3331.t1	sp|Q9LK64|AB3C_ARATH	526	9	29	UniRef90_A0AAE1MW78	5	0	1	PF00005;PF00664	IPR003439;IPR003593;IPR011527;IPR017871;IPR027417;IPR036640	GO:0005524(InterPro);GO:0016020(InterPro);GO:0016887(InterPro);GO:0055085(InterPro);GO:0140359(InterPro)	AAA_5;ABC transporter;ABC transporter integral membrane type-1 fused domain profile.;ABC transporter transmembrane region;ABC transporters family signature.;ATP-binding cassette, ABC transporter-type domain profile.;P-loop containing nucleoside triphosphate hydrolases	AAA+ ATPase domain;ABC transporter type 1, transmembrane domain;ABC transporter type 1, transmembrane domain superfamily;ABC transporter-like, ATP-binding domain;ABC transporter-like, conserved site;P-loop containing nucleoside triphosphate hydrolase
g3332	g3332.t1	sp|Q9LK65|Y3307_ARATH	106	2	97	UniRef90_A0AAE1MW63	2	1	1	PF00571;PF01595;PF03471	IPR000644;IPR002550;IPR005170;IPR036318;IPR046342	GO:0050660(InterPro)	CBS domain;CBS domain profile.;CBS-domain pair;CNNM transmembrane domain profile.;CorC_HlyC_2;Cyclin M transmembrane N-terminal domain;FAD-binding/transporter-associated domain-like;Transporter associated domain;cbs_1	CBS domain;CBS domain superfamily;CNNM, transmembrane domain;FAD-binding, type PCMH-like superfamily;Transporter-associated domain
g3333	g3333.t1	-	-	-	-	UniRef90_A0A445LSA6	88	2	1	-	-	-	-	-
g3333	g3333.t2	-	-	-	-	UniRef90_A0A445LSA6	85	2	1	-	-	-	-	-
g3334	g3334.t1	-	-	-	-	UniRef90_A0AAE1MW72	0	0	1	PF13646	IPR000225;IPR016024	GO:0005515(InterPro)	ARM repeat;Armadillo/plakoglobin ARM repeat profile.;HEAT repeats;arm_5	Armadillo;Armadillo-type fold
g3335	g3335.t1	sp|Q9SJ41|C3H18_ARATH	96	3	16	UniRef90_A0AAE1MW53	2	0	1	PF00076;PF00642	IPR000504;IPR000571;IPR025605;IPR035979;IPR036855	GO:0003676(InterPro);GO:0003723(InterPro);GO:0046872(InterPro)	CCCH zinc finger;Eukaryotic RNA Recognition Motif (RRM) profile.;OST-type HTH domain profile.;RNA recognition motif;RNA-binding domain, RBD;Zinc finger C-x8-C-x5-C-x3-H type (and similar);Zinc finger C3H1-type profile.;c3hfinal6;rrm1_1	OST-HTH/LOTUS domain;RNA recognition motif domain;RNA-binding domain superfamily;Zinc finger, CCCH-type;Zinc finger, CCCH-type superfamily
g3336	g3336.t1	-	-	-	-	UniRef90_UPI00200C9175	31	0	5	-	-	-	-	-
g3337	g3337.t1	sp|Q9LDL7|PAT1_ARATH	161	5	64	UniRef90_A0AAE1MW59	0	0	1	PF03514	IPR005202	-	GRAS domain family;GRAS family profile.	Transcription factor GRAS
g3338	g3338.t1	-	-	-	-	UniRef90_A0AAE1TAA9	1	0	1	-	-	-	ADP-ribosylation	-
g3339	g3339.t1	sp|Q93WV0|WRK20_ARATH	215	15	37	UniRef90_A0AAE1TAM3	1	0	1	PF03106	IPR003657;IPR036576	GO:0003700(InterPro);GO:0006355(InterPro);GO:0043565(InterPro)	WRKY DNA -binding domain;WRKY DNA-binding domain;WRKY domain profile.;WRKY_cls	WRKY domain;WRKY domain superfamily
g3340	g3340.t1	sp|Q9FFF1|FRL1A_ARATH	216	8	3	UniRef90_A0AAE1TBQ5	0	0	1	PF07899	IPR012474	-	Frigida-like protein	Frigida-like
g3341	g3341.t1	sp|O49929|OEP24_PEA	109	5	1	UniRef90_A0AAE1TBX8	8	1	1	-	-	-	-	-
g3342	g3342.t1	-	-	-	-	UniRef90_A0AAV1YJ36	177	9	31	PF02042	IPR003035	-	RWP-RK domain;RWP-RK domain profile.	RWP-RK domain
g3343	g3343.t1	sp|O48788|Y2267_ARATH	138	7	119	UniRef90_A0AAE1TB80	0	0	1	PF00069	IPR000719;IPR011009	GO:0004672(InterPro);GO:0005524(InterPro);GO:0006468(InterPro)	Protein kinase domain;Protein kinase domain profile.;Protein kinase-like (PK-like)	Protein kinase domain;Protein kinase-like domain superfamily
g3344	g3344.t1	-	-	-	-	UniRef90_UPI001016738D	105	3	1	PF13963	IPR029480	-	Transposase-associated domain	Transposase-associated domain
g3345	g3345.t1	-	-	-	-	UniRef90_UPI0010FBA4D5	52	1	1	PF13960	IPR025452	-	Domain of unknown function (DUF4218)	Domain of unknown function DUF4218
g3346	g3346.t1	sp|O48788|Y2267_ARATH	143	7	277	UniRef90_A0AAE1MW65	2	1	1	PF07714	IPR000719;IPR001245;IPR011009	GO:0004672(InterPro);GO:0005524(InterPro);GO:0006468(InterPro)	L domain-like;Protein kinase domain profile.;Protein kinase-like (PK-like);Protein tyrosine and serine/threonine kinase	Protein kinase domain;Protein kinase-like domain superfamily;Serine-threonine/tyrosine-protein kinase, catalytic domain
g3347	g3347.t1	sp|Q9FJ57|TRN1_ARATH	449	8	4	UniRef90_A0AAE1MW77	12	0	1	PF13516;PF16095;PF25497	IPR001611;IPR027417;IPR032171;IPR057263	GO:0005515(InterPro)	C-terminal of Roc, COR-A domain;C-terminal of Roc, COR-B domain;Leucine Rich repeat;P-loop containing nucleoside triphosphate hydrolases;RNI-like	C-terminal of Roc, COR-A domain;C-terminal of Roc, COR-B domain;Leucine-rich repeat;P-loop containing nucleoside triphosphate hydrolase
g3347	g3347.t2	sp|Q9FJ57|TRN1_ARATH	449	8	5	UniRef90_A0AAE1MW77	12	0	1	PF13516;PF16095;PF25497	IPR001611;IPR027417;IPR032171;IPR057263	GO:0005515(InterPro)	C-terminal of Roc, COR-A domain;C-terminal of Roc, COR-B domain;Leucine Rich repeat;P-loop containing nucleoside triphosphate hydrolases;RNI-like	C-terminal of Roc, COR-A domain;C-terminal of Roc, COR-B domain;Leucine-rich repeat;P-loop containing nucleoside triphosphate hydrolase
g3348	g3348.t1	-	-	-	-	UniRef90_A0AAE1MW76	1	0	1	PF00168	IPR000008;IPR035892	-	C2 domain;C2 domain (Calcium/lipid-binding domain, CaLB);C2 domain profile.;C2_3c	C2 domain;C2 domain superfamily
g3349	g3349.t1	sp|P52409|E13B_WHEAT	54	1	19	UniRef90_A0AAE1MW73	4	0	1	PF00332	IPR000490;IPR017853	GO:0004553(InterPro);GO:0005975(InterPro)	(Trans)glycosidases;Glycosyl hydrolases family 17	Glycoside hydrolase family 17;Glycoside hydrolase superfamily
g3350	g3350.t1	sp|Q94HW2|POLR1_ARATH	108	1	2	UniRef90_A0AAE1JV86	16	0	1	-	-	-	-	-
g3351	g3351.t1	sp|Q9ZT94|POLR2_ARATH	90	1	1	UniRef90_A0AAV5JTT3	36	1	1	PF07727	IPR013103;IPR043502	-	DNA/RNA polymerases;Reverse transcriptase (RNA-dependent DNA polymerase)	DNA/RNA polymerase superfamily;Reverse transcriptase, RNA-dependent DNA polymerase
g3352	g3352.t1	sp|F4JDI6|KN12F_ARATH	507	19	10	UniRef90_A0AAE1MW69	0	0	1	PF00225	IPR001752;IPR027417	GO:0003777(InterPro);GO:0005524(InterPro);GO:0007018(InterPro);GO:0008017(InterPro)	Kinesin motor domain;Kinesin motor domain profile.;P-loop containing nucleoside triphosphate hydrolases;kinesin_4	Kinesin motor domain;P-loop containing nucleoside triphosphate hydrolase
g3353	g3353.t1	-	-	-	-	UniRef90_A0AAE1JLB8	32	0	33	PF13456	IPR002156;IPR012337	GO:0003676(InterPro);GO:0004523(InterPro)	Reverse transcriptase-like;Ribonuclease H-like	Ribonuclease H domain;Ribonuclease H-like superfamily
g3354	g3354.t1	sp|Q6NKU9|TI223_ARATH	60	5	10	UniRef90_A0AAE1MW85	1	0	1	PF02466	-	-	Tim17/Tim22/Tim23/Pmp24 family	-
g3355	g3355.t1	sp|O81361|RS8_PRUAR	21	0	1	UniRef90_A0A6A1UFM7	12	1	1	PF01201	IPR018283;IPR022309	GO:0003735(InterPro);GO:0005840(InterPro);GO:0006412(InterPro)	Ribosomal protein S8e;Ribosomal protein S8e signature.	Ribosomal protein eS8/ribosomal biogenesis NSA2;Small ribosomal subunit protein eS8, conserved site
